query_id,query,category,answer,sources,word_count,latency_ms,model_version,expected_keywords
11,Can I return an item without a receipt?,policy,Receipts are not required for refund requests — your account email is sufficient to locate your transaction.,"['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt']",17,1784,v1,"return,receipt,exchange,policy"
12,How long does it take to process a refund?,policy,Refunds are returned to the original payment method within 5 to 10 business days.,"['refund-and-cancellation-policy.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt']",14,833,v1,"refund,processing,time,business days"
13,I forgot my password what should I do?,how-to,"You should visit the Figma website and click ""Log in"" in the top-right corner. Then, click the ""Reset password"" link and follow the on-screen instructions to request a password reset email. After that, click the link in your password reset email, and Figma will prompt you to enter a new password.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",51,2591,v1,"reset,password,email,link"
14,How can I change my account email?,how-to,"To change your account email, follow these steps:

1. Open the file browser and click your profile in the top-left corner to open the account menu.
2. Select Settings to open the settings modal.
3. Select the Account tab to update your details.
4. Click Change email underneath your email address.
5. If your email address and password are managed by Google SSO, you will need to remove Google SSO first by requesting and setting a new account password. After that, you can log in with your email address and unique password, and then update your email address in Figma.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",100,3936,v1,"update,email,account,settings"
15,Which plan is best for small teams?,comparison,"The Starter plan is best for small teams, as it is free and supports up to 3 users.","['pricing-and-plans.txt', 'team-and-users.txt', 'figma-plans.txt']",18,1513,v1,"plan,team,users,features"
16,Do plans include cloud storage?,comparison,"Yes, the plans include cloud storage. The Starter plan includes 5GB of cloud storage, the Pro plan includes 100GB of cloud storage, and the Enterprise plan includes unlimited storage.","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'pricing-and-plans.txt']",29,1414,v1,"storage,cloud,plan,features"
17,Does the app work without internet?,technical,"Yes, the desktop app supports limited offline access, allowing you to view and edit previously synced content without an internet connection. Changes sync automatically when you reconnect.","['security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt']",27,1464,v1,"offline,mode,sync,internet"
18,Will my data sync automatically?,technical,"Yes, all changes sync automatically across devices in real time.","['security-and-data-storage.txt', 'technical-features.txt', 'technical-features.txt']",10,1241,v1,"sync,automatic,cloud,update"
19,What are your support hours?,contact,"Our support team is available Monday through Friday, 9am to 6pm Eastern Time.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-billing.txt']",13,1504,v1,"support,hours,availability,timezone"
20,Is live chat support available?,contact,"Yes, live chat support is available inside the app during support hours, which are Monday through Friday, 9am to 6pm Eastern Time.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt']",22,1723,v1,"chat,live,support,agent"
21,Do I need a credit card for the free trial?,pricing,"No, a credit card is not required to start the 14-day free trial.","['pricing-and-plans.txt', 'figma-privacy.txt', 'refund-and-cancellation-policy.txt']",13,806,v1,"trial,credit card,free,signup"
22,What happens after the trial ends?,pricing,I don't have enough information to answer that.,"['zapier-terms.txt', 'zapier-terms.txt', 'zapier-terms.txt']",8,737,v1,"trial,upgrade,billing,subscription"
23,Can I pause my subscription instead of canceling?,policy,I don't have enough information to answer that.,"['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt']",8,769,v1,"pause,subscription,billing,account"
24,Will I get a refund if I cancel early?,policy,"If you cancel within the 30-day money-back guarantee period, you will receive a full refund. After 30 days, refunds are not available for monthly plans, but annual plans may be eligible for a prorated refund within 60 days.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt']",38,2017,v1,"refund,cancel,policy,billing"
25,Can I upload Excel files to the platform?,technical,I don't have enough information to answer that.,"['notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt']",8,1232,v1,"Excel,upload,import,files"
26,Are CSV files supported for import?,technical,"Yes, CSV files are supported for import.","['notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt']",7,844,v1,"CSV,import,data,upload"
27,Can multiple users log in at the same time?,pricing,"Yes, multiple users can be logged in simultaneously from different devices.","['team-and-users.txt', 'slack-billing.txt', 'slack-getting-started.txt']",11,820,v1,"users,concurrent,access,team"
28,Is there a limit on team members?,pricing,"Yes, the Starter plan supports up to 3 users, while the Pro plan supports unlimited users. Enterprise plans also support unlimited users.","['figma-plans.txt', 'team-and-users.txt', 'team-and-users.txt']",22,1705,v1,"team,users,limit,plan"
29,Is my data encrypted at rest?,technical,I don't have enough information to answer that.,"['linear-security.txt', 'technical-features.txt', 'security-and-data-storage.txt']",8,825,v1,"encryption,data,security,storage"
30,Which region are your servers located in?,technical,The servers are located in the United States.,"['linear-security.txt', 'linear-security.txt', 'figma-privacy.txt']",8,810,v1,"server,region,data center,location"
31,How do I update my billing information?,how-to,"To update your billing information, go to Settings > Billing > Payment Method. You can update your credit card, billing address, and invoice email at any time.","['team-and-users.txt', 'figma-privacy.txt', 'figma-privacy.txt']",27,1288,v1,"billing,update,payment,account"
32,Can I switch plans later?,pricing,"Yes, you can switch plans at any time. Upgrades take effect immediately, and downgrades take effect at the next billing cycle.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'pricing-and-plans.txt']",21,1496,v1,"upgrade,downgrade,plan,subscription"
33,Do you offer discounts for annual plans?,pricing,"Yes, annual plans receive a 20% discount compared to monthly billing.","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'refund-and-cancellation-policy.txt']",11,965,v1,"discount,annual,billing,price"
34,How secure is my account?,technical,I don't have enough information to answer that.,"['linear-security.txt', 'figma-privacy.txt', 'linear-security.txt']",8,762,v1,"security,encryption,authentication,protection"
35,Can I contact support via phone?,contact,Phone support is available on Enterprise plans only.,"['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt']",8,1067,v1,"phone,support,contact,number"
36,Is there an onboarding guide for new users?,how-to,"Yes, there is an onboarding guide for new users in Slack.","['slack-billing.txt', 'slack-getting-started.txt', 'slack-billing.txt']",11,814,v1,"onboarding,guide,setup,tutorial"
37,How do I delete my account permanently?,policy,I don't have enough information to answer that.,"['figma-privacy.txt', 'zapier-terms.txt', 'figma-privacy.txt']",8,1027,v1,"delete,account,remove,data"
38,Do you provide API access?,technical,"Yes, a REST API is available on Pro and Enterprise plans.","['security-and-data-storage.txt', 'technical-features.txt', 'zapier-terms.txt']",11,922,v1,"API,access,integration,developer"
39,Can I export my data?,technical,"Yes, you can export your data at any time in CSV or JSON format from Settings > Export Data, provided you have the appropriate permissions. If the ""Export"" tab does not appear, you may need to ask the workspace administrator for permission.","['notion-import-data.txt', 'notion-import-data.txt', 'technical-features.txt']",42,1556,v1,"export,data,download,files"
40,Is there a mobile app available?,technical,"Yes, there is a mobile app available for iOS and Android.","['security-and-data-storage.txt', 'technical-features.txt', 'intercom-create-account.txt']",11,1012,v1,"mobile,app,iOS,Android"
