query_id,query,category,answer,sources,word_count,latency_ms,model_version,expected_keywords
25,Can I upload Excel files to the platform?,technical,"You cannot directly upload Excel files (.xlsx) to the platform. However, you can export your Excel content as a CSV file and then import that CSV file into the platform. To do this, follow these steps:

1. Export your Excel file as a .csv file.
2. In the platform, go to **Settings** → **Import** → **CSV**.
3. Upload the exported .csv file from your computer.

If your spreadsheet is large, it's recommended to split it into multiple CSV files before importing to reduce errors and make property mapping easier.","['notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt', 'security-and-data-storage.txt', 'technical-features.txt']",89,2039,v2,"Excel,upload,import,files"
26,Are CSV files supported for import?,technical,"Yes, CSV files are supported for import into Notion. When you import a CSV file, it is converted into a Notion database, where each row in the CSV becomes a page and each column becomes a property. You can import CSV files by going to Settings → Import → CSV, or by typing /csv on a page and uploading your file. 

Please note the following limitations:
- The file size limit is 5 MB per file on the Free plan and 50 MB per file on paid plans.
- Imports add rows to the database and do not update existing rows, so be cautious of duplicates.
- Relations, rollups, or formulas do not import and will need to be rebuilt in Notion after the import.","['notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt']",125,2885,v2,"CSV,import,data,upload"
27,Can multiple users log in at the same time?,pricing,"Yes, multiple users can log in simultaneously from different devices. There is no limit on concurrent sessions per user, meaning you can be logged in on your phone, desktop, and browser at the same time.","['team-and-users.txt', 'slack-billing.txt', 'slack-getting-started.txt', 'figma-getting-started.txt', 'figma-plans.txt']",35,1094,v2,"users,concurrent,access,team"
28,Is there a limit on team members?,pricing,"Yes, there is a limit on team members depending on the plan you choose. The Starter plan supports up to 3 users, while the Pro plan supports unlimited users. Enterprise plans also support unlimited users with advanced permission controls.","['figma-plans.txt', 'team-and-users.txt', 'team-and-users.txt', 'zapier-terms.txt', 'notion-import-data.txt']",39,1660,v2,"team,users,limit,plan"
29,Is my data encrypted at rest?,technical,"Yes, your data is encrypted at rest. All databases used by Linear are encrypted to ensure the security of your information.","['linear-security.txt', 'technical-features.txt', 'security-and-data-storage.txt', 'linear-security.txt', 'linear-security.txt']",21,860,v2,"encryption,data,security,storage"
30,Which region are your servers located in?,technical,"Our servers are located in the United States. All personal information we process is transferred to, processed, and stored in the United States, where our headquarters and main servers are situated.","['linear-security.txt', 'linear-security.txt', 'figma-privacy.txt', 'figma-privacy.txt', 'zapier-terms.txt']",31,1499,v2,"server,region,data center,location"
31,How do I update my billing information?,how-to,"To update your billing information, follow these steps:

1. Go to **Settings**.
2. Select **Billing**.
3. Click on **Payment Method**.
4. Here, you can update your credit card, billing address, and invoice email as needed.

You can make these updates at any time.","['team-and-users.txt', 'figma-privacy.txt', 'figma-privacy.txt', 'figma-privacy.txt', 'figma-privacy.txt']",43,1762,v2,"billing,update,payment,account"
32,Can I switch plans later?,pricing,"Yes, you can switch plans at any time. Upgrades take effect immediately, while downgrades will take effect at the next billing cycle. If you are looking to reduce costs temporarily, you might consider downgrading to the Starter free plan and then upgrading again later.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'pricing-and-plans.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt']",44,1538,v2,"upgrade,downgrade,plan,subscription"
33,Do you offer discounts for annual plans?,pricing,"Yes, we offer a 20% discount for annual plans compared to monthly billing.","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'refund-and-cancellation-policy.txt', 'pricing-and-plans.txt', 'zapier-terms.txt']",13,742,v2,"discount,annual,billing,price"
34,How secure is my account?,technical,"Your account security is a top priority, and several measures are in place to ensure your information is treated securely. Here are the key points regarding the security of your account:

1. **Encryption**: All communication outside the cloud environment is encrypted, and databases are encrypted at rest. This means that your data is protected both during transmission and when stored.

2. **Best-in-Class Security Practices**: The platform employs state-of-the-art security practices, including strong customer authentication and reliable infrastructure partners. 

3. **Independently Verified Security Controls**: The security measures in place have been independently verified, ensuring compliance with industry standards.

4. **Shared Responsibility**: You are responsible for maintaining the confidentiality of your account credentials. It is important to notify the service provider immediately if you suspect any unauthorized use of your account.

5. **Data Processing Agreement (DPA)**: For specific details on data security practices and compliance measures, you can refer to the Data Processing Agreement.

Overall, your account is secured through multiple layers of protection, but it is also essential for you to manage your credentials responsibly.","['linear-security.txt', 'figma-privacy.txt', 'linear-security.txt', 'zapier-terms.txt', 'slack-billing.txt']",174,4407,v2,"security,encryption,authentication,protection"
35,Can I contact support via phone?,contact,"Phone support is available only for Enterprise plan customers. If you are on an Enterprise plan, you will receive a dedicated support number in your welcome email. If you are not on an Enterprise plan, you can reach out to support via live chat during support hours, email at support@company.com, or browse the help center for assistance.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt', 'slack-billing.txt', 'figma-privacy.txt']",57,1780,v2,"phone,support,contact,number"
36,Is there an onboarding guide for new users?,how-to,"Yes, there is an onboarding guide for new users in Slack. The guide helps you get set up in Slack and includes steps such as downloading the desktop app, signing in to your workspace, and filling out your profile. It also provides information on exploring other features, accessing tutorials and videos, and using keyboard shortcuts for assistance. You can find this guide in the Slack Help Center under ""Getting started for new users.""","['slack-billing.txt', 'slack-getting-started.txt', 'slack-billing.txt', 'slack-getting-started.txt', 'slack-billing.txt']",73,1657,v2,"onboarding,guide,setup,tutorial"
37,How do I delete my account permanently?,policy,"To delete your Zapier account permanently, follow these steps:

1. **Log in to your Zapier Account.**
2. **Export your Customer Content** if you wish to keep any data, as once you delete your account, it cannot be restored.
3. **Go to Settings** in your account.
4. **Navigate to Billing** and select **Cancel Plan** to cancel your subscription. Your account will remain active until the end of the current billing period.
5. After canceling, you can proceed to delete your account. Note that you will need to delete your account as you cannot pause a subscription.
6. Once you have completed these steps, your account and all associated data will be permanently deleted.

Please remember that if you do not log in or have any active Zaps for 24 months, your account may be designated as ""inactive"" and deleted by Zapier.","['figma-privacy.txt', 'zapier-terms.txt', 'figma-privacy.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt']",140,4096,v2,"delete,account,remove,data"
38,Do you provide API access?,technical,"Yes, API access is available on Pro and Enterprise plans. You can find the full documentation for the API at docs.company.com/api. Additionally, API keys can be generated from the Settings menu by navigating to Developer > API Keys.","['security-and-data-storage.txt', 'technical-features.txt', 'zapier-terms.txt', 'figma-privacy.txt', 'zapier-terms.txt']",38,1280,v2,"API,access,integration,developer"
39,Can I export my data?,technical,"Yes, you can export your data at any time. To do this, go to Settings and select ""Export Data."" You can export your data in CSV or JSON format. However, if you do not see the ""Export"" tab in the Content Tools section of your workspace's settings, it may be due to insufficient permissions. In that case, you should ask your workspace administrator for the necessary permissions to export pages.","['notion-import-data.txt', 'notion-import-data.txt', 'security-and-data-storage.txt', 'technical-features.txt', 'zapier-terms.txt']",70,2441,v2,"export,data,download,files"
40,Is there a mobile app available?,technical,"Yes, there is a mobile app available for both iOS and Android. You can download it from the App Store or Google Play. The mobile app supports full read and write access and syncs automatically with the desktop and web versions.","['security-and-data-storage.txt', 'technical-features.txt', 'intercom-create-account.txt', 'security-and-data-storage.txt', 'technical-features.txt']",41,1291,v2,"mobile,app,iOS,Android"
